person_id;person_trip_id;origin_x;origin_y;destination_x;destination_y;departure_time;travel_time;vehicle_distance;routed_distance;mode;preceding_purpose;following_purpose;returning;euclidean_distance
163140;0;1209874.092504125;6148177.823321419;1210439.0621403158;6147797.21587605;21662.0;318.0;2563.858339728394;2563.858339728394;car;home;other;false;681.2141493593633
210135;0;1178512.5017149122;6180159.504377594;1178321.1556831477;6182858.9552749805;21868.0;499.0;4345.176910612119;4345.176910612119;car;home;other;false;2706.224020895483
157790;0;1227612.2786807925;6192249.897313714;1229057.7410083215;6189718.649332259;21763.0;835.0;7979.203158632017;7979.203158632017;car;home;other;false;2914.888965968755
70455;0;1176381.3187317855;6109279.93461759;1175385.7105236757;6108423.310961255;22349.0;445.0;2563.630332301263;2563.630332301263;car;home;other;false;1313.4077023715663
205089;0;1236134.7448372813;6184359.34409547;1235210.5153865162;6182210.452290405;22443.0;743.0;3497.844853483094;3497.844853483094;car;home;other;false;2339.2169774393374
298468;0;1227139.61454765;6195465.472572349;1226995.630333982;6198442.78221434;22443.0;913.0;5230.3756626390705;5230.3756626390705;car;home;other;false;2980.789183769474
157790;1;1229057.7410083215;6189718.649332259;1229068.3767409849;6187625.60298111;22963.0;515.0;5601.894040415424;5601.894040415424;car;other;work;false;2093.0733735027948
222553;0;1225331.399489716;6215420.5611165175;1226466.423109806;6215679.9349433705;23483.0;209.0;849.7297822471692;849.7297822471692;car;home;work;false;1164.282354164374
13670;0;1201658.0170905893;6128193.143869597;1201734.9975215995;6128169.591473592;23592.0;159.0;0.0;191.04143683959708;walk;home;other;false;80.50280812556065
229191;0;1207360.1255513267;6154382.386827044;1207524.64741965;6153633.706925917;23542.0;216.0;920.237811520833;920.237811520833;car;home;work;false;766.5435666078147
212047;0;1203938.4412707274;6172200.785783393;1203758.688141611;6172386.5546232555;23692.0;76.0;0.0;0.0;car;home;work;false;258.4980643852429
82329;0;1176637.3088614224;6108870.512067679;1176301.26937785;6108843.739449905;23547.0;279.0;0.0;335.9184907088059;walk;home;other;false;337.10429778045426
70018;0;1176784.4171727565;6110478.4262122065;1176345.3619537503;6108064.273093887;23462.0;365.0;2875.378704952952;2875.378704952952;car;home;work;false;2453.753199494581
106360;0;1175670.796154908;6107779.695278814;1176523.0783688696;6108967.107848851;23496.0;360.0;2137.763725641142;2137.763725641142;car;home;work;false;1461.6201913346763
132300;0;1175655.2181110189;6108619.2882712735;1176667.7385106068;6108725.767446285;23539.0;328.0;2173.779979752358;2173.779979752358;car;home;work;false;1018.1038131216545
108313;0;1176484.8618691573;6109050.554357794;1176538.5890092996;6108178.385216437;23728.0;139.0;979.5670029506211;979.5670029506211;car;home;work;false;873.8224171552201
149595;0;1193096.9359592656;6187402.5346503435;1193687.0768412366;6186287.034323035;23644.0;257.0;1514.4067213810645;1514.4067213810645;car;home;work;false;1261.9854360487807
132298;0;1175655.2181110189;6108619.2882712735;1176667.7385106068;6108725.767446285;23582.0;328.0;2173.779979752358;2173.779979752358;car;home;work;false;1018.1038131216545
142112;0;1225621.1998267502;6079089.895262692;1221661.686365218;6075854.898461769;23070.0;852.0;7292.444504574168;7292.444504574168;car;home;other;false;5113.017812802554
276149;0;1228174.4124578005;6199952.359701896;1226995.630333982;6198442.78221434;23103.0;824.0;4872.553308160742;4872.553308160742;car;home;other;false;1915.294099184457
187293;0;1172046.1731298948;6179002.451220757;1172960.3555720507;6180371.830797531;23604.0;335.0;2497.123892394776;2497.123892394776;car;home;work;false;1646.490195181913
309852;0;1228425.8441035843;6198421.156657471;1227729.3759403038;6199926.3311362695;23468.0;500.0;2681.81617187358;2681.81617187358;car;home;work;false;1658.4987531164102
69130;0;1193728.7878959621;6082051.512773006;1195839.3967756985;6082657.844835421;23462.0;507.0;2628.4275170948104;2628.4275170948104;car;home;work;false;2195.9755037646364
245016;0;1234722.7639456028;6175771.713612003;1233459.9062998854;6175631.010281831;23866.0;167.0;689.0697917376317;689.0697917376317;car;home;other;false;1270.6718146195633
95290;0;1176642.7240876968;6108068.335152362;1176290.2064894424;6109090.480006485;23935.0;189.0;1363.2144442248534;1363.2144442248534;car;home;work;false;1081.2255823326602
150228;0;1193111.9483857686;6187946.042826576;1193687.0768412366;6186287.034323035;23746.0;380.0;2477.324154519908;2477.324154519908;car;home;work;false;1755.870711388371
307454;0;1227905.1625309011;6200376.340635975;1227964.3401180992;6200655.088451128;23900.0;231.0;0.0;278.3761484425532;walk;home;leisure;false;284.9602275396903
306057;0;1228716.5123364613;6199891.641131633;1228388.7113146242;6198999.636845557;23960.0;200.0;991.780824405661;991.780824405661;car;home;work;false;950.3289726696435
22656;0;1179565.5051733172;6125052.87179232;1177345.0428071953;6125245.962439604;23550.0;628.0;3429.57963712453;3429.57963712453;car;home;work;false;2228.842102400223
121544;0;1177862.5339555214;6110716.310389325;1176303.3086985932;6108284.720730601;23666.0;530.0;4123.716892586406;4123.716892586406;car;home;work;false;2888.5656769852308
143986;0;1224157.5262033301;6075400.150981385;1224440.0253202538;6075198.588827455;23870.0;339.0;0.0;407.1625579965555;walk;home;work;false;347.03465671238956
181608;0;1183428.9688005056;6187182.978663402;1187621.0135513733;6188646.75954495;23751.0;511.0;5299.586030106277;5299.586030106277;car;home;work;false;4440.258287809764
237882;0;1223659.9463750392;6227466.278694626;1223741.3709911734;6228907.325790029;23727.0;538.0;3089.2271531787846;3089.2271531787846;car;home;work;false;1443.345661746434
159385;0;1227560.7362551147;6192367.690004805;1229068.3767409849;6187625.60298111;23678.0;596.0;6826.499482791627;6826.499482791627;car;home;work;false;4975.979217694884
235223;0;1228462.7174563282;6121572.091407519;1231111.0580724867;6123386.82252653;23604.0;675.0;4765.950132514385;4765.950132514385;car;home;work;false;3210.444993066119
83797;0;1175965.960959757;6108194.590730912;1176636.368719786;6108989.719031791;24072.0;243.0;1332.3302612555233;1332.3302612555233;car;home;work;false;1040.0363356950627
84547;0;1176234.3382457;6110297.509741511;1176345.3619537503;6108064.273093887;23954.0;385.0;2653.225913139986;2653.225913139986;car;home;work;false;2235.9946753162044
236139;0;1229463.8224431775;6121067.535246329;1231111.0580724867;6123386.82252653;23772.0;570.0;4001.5469034180164;4001.5469034180164;car;home;work;false;2844.7282307046034
307445;0;1228476.794675753;6199957.750333887;1228429.4275418064;6199105.155962488;24167.0;201.0;891.6260561144306;891.6260561144306;car;home;work;false;853.9091330577402
254317;0;1236828.380919338;6164094.081444997;1236544.6329147622;6161152.877996577;23582.0;803.0;5602.306222135152;5602.306222135152;car;home;work;false;2954.858821517654
285633;0;1228113.5098680337;6199337.6640326185;1228532.8602104508;6199722.603113949;24061.0;324.0;1672.191894771996;1672.191894771996;car;home;work;false;569.2387952530613
248240;0;1217406.0233285315;6163105.333658591;1218102.0102648125;6163268.0505503565;23838.0;559.0;0.0;671.8687261810411;walk;home;other;false;714.7549246697266
84471;0;1178430.4748086273;6110455.438769031;1176303.3086985932;6108284.720730601;23883.0;525.0;4140.573657556565;4140.573657556565;car;home;work;false;3039.2190546330967
131100;0;1175400.0344010517;6107521.966605024;1176576.6003635156;6108963.325253836;24042.0;372.0;2509.42527697454;2509.42527697454;car;home;work;false;1860.5972746760929
105553;0;1176623.094466501;6108181.796357535;1176290.2064894424;6109090.480006485;24246.0;173.0;1273.303810599554;1273.303810599554;car;home;work;false;967.7398302952987
143383;0;1224521.7144415672;6075324.999999024;1224117.3109301943;6075177.239720952;23948.0;479.0;0.0;575.9361863836825;walk;home;work;false;430.5523194533686
134937;0;1176784.4171727565;6110478.4262122065;1176380.046508309;6108337.642360818;24054.0;376.0;2756.8225402644243;2756.8225402644243;car;home;work;false;2178.63974365497
70455;1;1175385.7105236757;6108423.310961255;1176086.5317371215;6108446.373120733;23549.0;898.0;0.0;1078.450987351325;walk;other;work;false;701.2005678944524
131099;0;1175400.0344010517;6107521.966605024;1176637.3088614224;6108870.512067679;24042.0;406.0;2595.1272269733777;2595.1272269733777;car;home;work;false;1830.1428783383599
205089;1;1235210.5153865162;6182210.452290405;1231069.3602642738;6181482.358988945;23643.0;809.0;4834.928340577533;4834.928340577533;car;other;work;false;4204.674256360921
284836;0;1228448.7400851673;6198500.40443803;1228336.623162929;6194711.217299026;23790.0;683.0;5602.289662711061;5602.289662711061;car;home;work;false;3790.8454701612436
134577;0;1181294.1716057567;6111345.586028354;1179025.3643991677;6109512.584268029;23292.0;1190.0;11579.661958155679;11579.661958155679;car;home;other;false;2916.7416056322704
283637;0;1228021.6511503337;6197405.382715318;1228728.4647303224;6199740.522684872;24106.0;377.0;2995.8393720933727;2995.8393720933727;car;home;work;false;2439.767225426251
93839;0;1179696.2926865919;6111904.836748806;1176356.7263240116;6108207.51235358;23466.0;1025.0;8291.920615534114;8291.920615534114;car;home;work;false;4982.2596453423075
126898;0;1177765.3283556704;6110188.775126057;1176014.3079491179;6108045.2471389985;24039.0;454.0;3556.8032195351825;3556.8032195351825;car;home;work;false;2767.81225798747
218540;0;1220095.428589755;6191112.420128474;1219834.2836208977;6192545.718384973;24096.0;420.0;2400.743798494461;2400.743798494461;car;home;work;false;1456.8941577348248
285140;0;1226834.5604284771;6199491.437969015;1228665.1731496095;6199040.463013349;23790.0;730.0;4443.80981524721;4443.80981524721;car;home;work;false;1885.3438268415177
177542;0;1227873.3641101462;6185710.987667181;1231069.3602642738;6181482.358988945;23872.0;680.0;7903.793708322433;7903.793708322433;car;home;work;false;5300.536945969915
290771;0;1228744.4447800862;6198640.246402841;1227964.5982061364;6199768.577428874;24281.0;274.0;2077.9446273761996;2077.9446273761996;car;home;work;false;1371.6018311481407
95871;0;1175111.735891309;6109990.328975301;1176570.8331988654;6108239.404801058;23935.0;636.0;3101.2539580198913;3101.2539580198913;car;home;work;false;2279.18854351031
126897;0;1177765.3283556704;6110188.775126057;1176003.282426883;6107918.903614573;24122.0;469.0;3505.506966874521;3505.506966874521;car;home;work;false;2873.5209297656206
126896;0;1177765.3283556704;6110188.775126057;1176003.282426883;6107918.903614573;24122.0;472.0;3487.2669041961394;3487.2669041961394;car;home;work;false;2873.5209297656206
77160;0;1171309.77727745;6106619.617319172;1176485.7962412708;6109417.933710899;23582.0;1016.0;7561.1309375725605;7561.1309375725605;car;home;work;false;5884.024723098975
215180;0;1188530.141759327;6187656.204170662;1187730.0199204958;6188635.615885993;24210.0;391.0;2284.0797901193123;2284.0797901193123;car;home;work;false;1264.6905807750838
283559;0;1228235.5416987012;6198145.826250433;1226974.8401763926;6199094.41068887;23580.0;1033.0;6207.516792332654;6207.516792332654;car;home;other;false;1577.7137779697277
309801;0;1228243.0483443604;6200021.618089047;1228512.3912540097;6199069.875501893;24294.0;358.0;1404.261101433025;1404.261101433025;car;home;work;false;989.1205968841872
307446;0;1228476.794675753;6199957.750333887;1228429.4275418064;6199105.155962488;24460.0;201.0;891.6260561144306;891.6260561144306;car;home;work;false;853.9091330577402
262709;0;1230439.904578256;6112036.74949202;1230346.1471315823;6112869.019150637;24384.0;279.0;1109.9707144150507;1109.9707144150507;car;home;work;false;837.5340252555732
277975;0;1228666.2098318;6199703.458201094;1228306.1816954368;6198958.138498071;23792.0;876.0;0.0;1051.5129311732192;walk;home;work;false;827.7207975443257
186889;0;1171905.262554482;6180051.049950866;1172960.3555720507;6180371.830797531;24504.0;199.0;1264.6142583896765;1264.6142583896765;car;home;work;false;1102.7790473657358
228451;0;1207899.0227694483;6153317.750417858;1207369.329435541;6154141.956916807;23542.0;1163.0;0.0;1395.8419975890827;walk;home;work;false;979.7404660905601
70025;0;1176784.4171727565;6110478.4262122065;1176345.3619537503;6108064.273093887;24364.0;375.0;2874.38626019049;2874.38626019049;car;home;work;false;2453.753199494581
268613;0;1229551.4249476886;6176373.803106257;1231069.3602642738;6181482.358988945;23786.0;959.0;9119.545310366968;9119.545310366968;car;home;work;false;5329.303034345969
161271;0;1217607.271614367;6214442.426661445;1217917.7122998289;6214699.756206697;24414.0;378.0;1374.634504118931;1374.634504118931;car;home;work;false;403.2268766460318
215950;0;1210806.4937557266;6171925.428428934;1214816.0819055259;6170347.789551737;23630.0;1163.0;8286.269831309977;8286.269831309977;car;home;work;false;4308.798157010218
266945;0;1231295.833044663;6177813.4282551;1231131.3122493;6178070.492694482;24619.0;190.0;0.0;228.368737509771;walk;home;leisure;false;305.203568298053
292430;0;1227189.9492716556;6196650.861018915;1228532.8602104508;6199722.603113949;24228.0;601.0;4811.612506115361;4811.612506115361;car;home;work;false;3352.4631672761366
70024;0;1176784.4171727565;6110478.4262122065;1176345.3619537503;6108064.273093887;24457.0;375.0;2874.38626019049;2874.38626019049;car;home;work;false;2453.753199494581
75562;0;1176784.4171727565;6110478.4262122065;1176538.5890092996;6108178.385216437;24521.0;337.0;2652.0883364188653;2652.0883364188653;car;home;work;false;2313.140736783554
251861;0;1237668.6673419527;6165760.440377893;1236527.4018359645;6163339.230456017;24297.0;565.0;4394.083807003461;4394.083807003461;car;home;work;false;2676.7040256533824
52207;0;1192583.54222664;6082239.473368537;1192899.623873488;6080337.656360358;24196.0;672.0;6403.656341022871;6403.656341022871;car;home;other;false;1927.9044426713313
173917;0;1237315.593295953;6157979.2879002355;1237315.593295953;6157979.2879002355;24870.0;0.0;0.0;0.0;car;home;work;false;0.0
290766;0;1228533.6360116228;6198963.144634269;1227964.5982061364;6199768.577428874;24480.0;393.0;2204.035453272063;2204.035453272063;car;home;work;false;986.1673340246032
212567;0;1229687.4890519874;6178629.019195683;1231069.3602642738;6181482.358988945;24265.0;613.0;5201.343909510094;5201.343909510094;car;home;work;false;3170.3495111988445
299134;0;1227492.6772592962;6199093.034924546;1228643.6516845622;6199296.919637787;23733.0;1147.0;0.0;1377.290022030087;walk;home;work;false;1168.8931105579304
301906;0;1226928.0081893029;6195693.266513232;1227450.3370840573;6195738.946388705;24494.0;398.0;0.0;478.38723422419525;walk;home;other;false;524.3225393958837
190112;0;1231360.8240850419;6123244.147925308;1231023.3021778704;6123201.045725143;24812.0;92.0;360.96301232679707;360.96301232679707;car;home;work;false;340.2628946561203
290767;0;1228533.6360116228;6198963.144634269;1227964.5982061364;6199768.577428874;24480.0;427.0;1622.043476499125;1622.043476499125;car;home;work;false;986.1673340246032
307660;0;1227932.6161941406;6199034.7582784835;1228773.7559539862;6199942.077498626;24294.0;636.0;3373.7241929432616;3373.7241929432616;car;home;work;false;1237.2325015262652
308972;0;1228009.4880114954;6195972.057227742;1228057.9634223692;6199746.11125135;24294.0;640.0;5609.2320779444535;5609.2320779444535;car;home;work;false;3774.3653292399176
240244;0;1228218.8164643226;6171623.509922059;1226553.8158708983;6170674.413399717;24561.0;401.0;2133.0516066198616;2133.0516066198616;car;home;work;false;1916.5101577674366
229192;0;1207360.1255513267;6154382.386827044;1207166.5741542345;6154141.9013204705;24615.0;348.0;0.0;417.6746427339919;walk;home;leisure;false;308.6995662263521
170848;0;1219515.6833072894;6227732.489097199;1219191.8070261981;6228389.05943232;24188.0;788.0;0.0;946.1732733387182;walk;home;work;false;732.1068572375608
128197;0;1176904.2089014517;6110134.727077886;1176356.7263240116;6108207.51235358;24675.0;303.0;2294.3207420178373;2294.3207420178373;car;home;work;false;2003.4704305735008
292190;0;1227847.941817738;6200250.9334841985;1228620.646591003;6199042.29662401;23774.0;1211.0;0.0;2335.343692969248;eScooter;home;work;false;1434.5297928003304
133599;0;1180130.5422376068;6112144.663256075;1173263.3886582484;6114223.130316958;23718.0;1268.0;11323.84943299576;11323.84943299576;car;home;other;false;7174.804778227063
109934;0;1175868.4384327107;6107602.284889426;1176389.4538513566;6109008.36588759;24679.0;311.0;2096.61683870375;2096.61683870375;car;home;work;false;1499.5068655607192
142112;1;1221661.686365218;6075854.898461769;1224278.0949590006;6075174.949993059;24270.0;728.0;4330.102117546031;4330.102117546031;car;other;work;false;2703.31719369396
268674;0;1230559.0623409622;6177339.917762127;1230187.2323608862;6176799.860908227;24822.0;197.0;573.7508874908231;573.7508874908231;car;home;other;false;655.6820414861446
172778;0;1237315.593295953;6157979.2879002355;1237315.593295953;6157979.2879002355;25035.0;0.0;0.0;0.0;car;home;work;false;0.0
78569;0;1177069.8491134604;6110509.850027934;1176538.5890092996;6108178.385216437;24706.0;332.0;2566.281030498575;2566.281030498575;car;home;work;false;2391.226769990461
215198;0;1188114.5465852811;6188100.433125237;1185096.522419382;6186785.576316688;23703.0;1345.0;8177.543099668893;8177.543099668893;car;home;work;false;3292.0082461833294
294454;0;1228009.4880114954;6195972.057227742;1228795.4631022774;6200375.629486991;24541.0;528.0;5239.024432719459;5239.024432719459;car;home;other;false;4473.165041193814
28237;0;1233417.0216438863;6093283.4533369355;1233373.1601670003;6094082.166854105;24922.0;156.0;1363.4399624965959;1363.4399624965959;car;home;other;false;799.9169404781043
307444;0;1228476.794675753;6199957.750333887;1228429.4275418064;6199105.155962488;24881.0;201.0;891.6260561144306;891.6260561144306;car;home;work;false;853.9091330577402
270697;0;1228461.5687539054;6199305.966958243;1228773.7559539862;6199942.077498626;24258.0;831.0;0.0;997.9260575886564;walk;home;work;false;708.5883625068293
107615;0;1177531.3511426947;6110410.128349145;1176356.7263240116;6108207.51235358;24703.0;396.0;3094.507543415549;3094.507543415549;car;home;work;false;2496.249324202808
106361;0;1175670.796154908;6107779.695278814;1176389.4538513566;6109008.36588759;24768.0;333.0;2092.8998638477283;2092.8998638477283;car;home;work;false;1423.4115179856537
192836;0;1231637.5431893677;6123247.120788077;1231111.0580724867;6123386.82252653;24812.0;298.0;1562.3610526550783;1562.3610526550783;car;home;work;false;544.7046484327191
40878;0;1183694.3849319222;6129293.134311774;1184630.1057381977;6128528.46927094;24481.0;655.0;3386.5167378512415;3386.5167378512415;car;home;work;false;1208.4229607096738
94627;0;1176566.1232457156;6108469.645271253;1175994.0779815465;6107756.491187543;24934.0;203.0;1217.0263646246813;1217.0263646246813;car;home;other;false;914.2343962960418
34510;0;1213382.5966509902;6065347.047551136;1211954.9565336993;6065552.479712834;24875.0;264.0;1206.1611555971012;1206.1611555971012;car;home;work;false;1442.3448538951914
78311;0;1176565.423052105;6108820.378857348;1176495.3266913597;6109688.3038367815;24213.0;932.0;0.0;1119.3145786272694;walk;home;work;false;870.7509803119436
14376;0;1216128.7651967688;6051870.150106307;1216526.2066819225;6051994.368479067;24724.0;434.0;0.0;521.2552275037559;walk;home;work;false;416.40117465305093
13670;1;1201734.9975215995;6128169.591473592;1202754.9568732232;6129209.522176534;24792.0;369.0;1982.265949495695;1982.265949495695;car;other;work;false;1456.630682734972
188688;0;1172268.959120973;6180047.317256243;1172410.2910582074;6179906.655520397;24982.0;187.0;0.0;225.22331329625908;walk;home;other;false;199.4002016387081
256197;0;1210085.8565916438;6147100.040308222;1207650.8498370098;6153772.953823648;24456.0;728.0;10067.368830780024;10067.368830780024;car;home;work;false;7103.311388322418
198330;0;1182560.3766515919;6182010.441095736;1172966.6245096992;6180245.9673797;23817.0;1382.0;14947.184170831033;14947.184170831033;car;home;work;false;9754.662867298408
315582;0;1175516.513150835;6109450.962562453;1176656.1519422848;6108368.803648474;24917.0;288.0;2012.0347090299765;2012.0347090299765;car;home;work;false;1571.5738894758051
114860;0;1175602.2208361803;6107680.572520892;1176726.273292447;6109758.64037946;24844.0;384.0;3109.1565810896013;3109.1565810896013;car;home;work;false;2362.5960190541214
108637;0;1177179.2784829114;6110965.2699105255;1176001.4403518008;6107836.804014247;24633.0;596.0;4226.862578778262;4226.862578778262;car;home;work;false;3342.8433297533725
125657;0;1176450.4630881366;6108422.88988881;1176478.4171838788;6108970.821487468;25094.0;150.0;880.9775777326258;880.9775777326258;car;home;work;false;548.6442091887903
